GO:0003824 catalytic activity   GO:0003824
GO:0005488 binding  GO:0005488
GO:0006807 nitrogen compound metabolic process  GO:0006807
GO:0008152 metabolic process    GO:0008152
GO:0009058 biosynthetic process GO:0009058
GO:0009987 cellular process GO:0009987
GO:0016032 viral process    GO:0016032
GO:0016740 transferase activity GO:0016740
GO:0016772 transferase activity  transferring phosphorus containing groups  GO:0016772
GO:0016779 nucleotidyltransferase activity  GO:0016779
GO:0016787 hydrolase activity   GO:0016787
GO:0019048 modulation by virus of host process  GO:0019048
GO:0019054 modulation by virus of host cellular process GO:0019054
GO:0034641 cellular nitrogen compound metabolic process GO:0034641
GO:0035821 modulation of process of other organism  GO:0035821
GO:0043167 ion binding  GO:0043167
GO:0043170 macromolecule metabolic process  GO:0043170
GO:0044003 modulation by symbiont of host process   GO:0044003
GO:0044068 modulation by symbiont of host cellular process  GO:0044068
GO:0044237 cellular metabolic process   GO:0044237
GO:0044238 primary metabolic process    GO:0044238
GO:0044249 cellular biosynthetic process    GO:0044249
GO:0044260 cellular macromolecule metabolic process GO:0044260
GO:0044403 symbiotic process    GO:0044403
GO:0044419 interspecies interaction between organisms   GO:0044419
GO:0046483 heterocycle metabolic process    GO:0046483
GO:0050789 regulation of biological process GO:0050789
GO:0050794 regulation of cellular process   GO:0050794
GO:0051701 interaction with host    GO:0051701
GO:0051817 modulation of process of other organism involved in symbiotic interaction    GO:0051817
GO:0065007 biological regulation    GO:0065007
GO:0071704 organic substance metabolic process  GO:0071704
GO:0090304 nucleic acid metabolic process   GO:0090304
GO:1901360 organic cyclic compound metabolic process    GO:1901360
GO:1901564 organonitrogen compound metabolic process    GO:1901564
GO:1901576 organic substance biosynthetic process   GO:1901576
