Group	Sample
1	COVID19_BALF_Chen_SRR10903401
1	COVID19_BALF_Chen_SRR10903402
2	COVID19_BALF_Wu_SRR10971381
3	COVID19_BALF_Zhou_WIV02_SRR11092058
3	COVID19_BALF_Zhou_WIV02_SRR11092063
3	COVID19_BALF_Zhou_WIV04_SRR11092057
3	COVID19_BALF_Zhou_WIV04_SRR11092062
3	COVID19_BALF_Zhou_WIV05_SRR11092061
3	COVID19_BALF_Zhou_WIV06_SRR11092060
3	COVID19_BALF_Zhou_WIV06_SRR11092056
3	COVID19_BALF_Zhou_WIV07_SRR11092059
3	COVID19_BALF_Zhou_WIV07_SRR11092064
4	COVID19_BALF_Xiong_Patient1_CRR119894
4	COVID19_BALF_Xiong_Patient1_CRR119895
4	COVID19_BALF_Xiong_Patient2_CRR119896
4	COVID19_BALF_Xiong_Patient2_CRR119897
5	COVID19_BALF_Shen_nCov8_CRR125942_SE
5	COVID19_BALF_Shen_nCov8_CRR125934_PE
5	COVID19_BALF_Shen_nCov7_CRR125943_SE
5	COVID19_BALF_Shen_nCov7_CRR125935_PE
5	COVID19_BALF_Shen_nCov6_CRR125944_SE
5	COVID19_BALF_Shen_nCov6_CRR125936_PE
5	COVID19_BALF_Shen_nCov5_CRR125945_SE
5	COVID19_BALF_Shen_nCov5_CRR125937_PE
5	COVID19_BALF_Shen_nCov4_CRR125946_SE
5	COVID19_BALF_Shen_nCov4_CRR125938_PE
5	COVID19_BALF_Shen_nCov3_CRR125947_SE
5	COVID19_BALF_Shen_nCov3_CRR125939_PE
5	COVID19_BALF_Shen_nCov2_CRR125948_SE
5	COVID19_BALF_Shen_nCov2_CRR125940_PE
5	COVID19_BALF_Shen_nCov1_CRR125949_SE
5	COVID19_BALF_Shen_nCov1_CRR125941_PE
5	BALF_Shen_H01_CRR125950
5	BALF_Shen_H02_CRR125951
5	BALF_Shen_H03_CRR125952
5	BALF_Shen_H04_CRR125953
5	BALF_Shen_H05_CRR125954
5	BALF_Shen_H06_CRR125955
5	BALF_Shen_H07_CRR125956
5	BALF_Shen_H08_CRR125957
5	BALF_Shen_H09_CRR125958
5	BALF_Shen_H10_CRR125959
5	BALF_Shen_H11_CRR125960
5	BALF_Shen_H12_CRR125961
5	BALF_Shen_H13_CRR125962
5	BALF_Shen_H14_CRR125963
5	BALF_Shen_H15_CRR125964
5	BALF_Shen_H16_CRR125965
5	BALF_Shen_H17_CRR125966
5	BALF_Shen_H18_CRR125967
5	BALF_Shen_H19_CRR125968
5	BALF_Shen_H20_CRR125969
5	BALF_Shen_V01_CRR125970
5	BALF_Shen_V02_CRR125971
5	BALF_Shen_V03_CRR125972
5	BALF_Shen_V04_CRR125973
5	BALF_Shen_V05_CRR125974
5	BALF_Shen_V06_CRR125975
5	BALF_Shen_V07_CRR125976
5	BALF_Shen_V08_CRR125977
5	BALF_Shen_V09_CRR125978
5	BALF_Shen_V10_CRR125979
5	BALF_Shen_V11_CRR125980
5	BALF_Shen_V12_CRR125981
5	BALF_Shen_V13_CRR125982
5	BALF_Shen_V14_CRR125983
5	BALF_Shen_V15_CRR125984
5	BALF_Shen_V16_CRR125985
5	BALF_Shen_V17_CRR125986
5	BALF_Shen_V18_CRR125987
