query	taxid	go
NODE_1_length_32580_cov_43.160704_g0_i0	1283333	GO:0019082;GO:0003723;GO:0005524;GO:0019079;GO:0008233;GO:0008168;GO:0004386;GO:0003968;GO:0016896;GO:0039520;GO:0016787;GO:0008234;GO:0090503;GO:0000166;GO:0008270;GO:0032259;GO:0016779;GO:0006351;GO:0016032;GO:0001172;GO:0003676;GO:0039503;GO:0046872;GO:0006508;GO:0039694;GO:0004197;GO:0016740;GO:0008242
NODE_2_length_17507_cov_42.377194_g0_i1	1283332	GO:0019079;GO:0008233;GO:0008168;GO:0003968;GO:0016787;GO:0008234;GO:0090503;GO:0032259;GO:0036459;GO:0039579;GO:0016032;GO:0006508;GO:0039502;GO:0004197;GO:0030683;GO:0016740;GO:0039648;GO:0004519;GO:0019082;GO:0003723;GO:0005524;GO:0004386;GO:0016896;GO:0039520;GO:0000166;GO:0008270;GO:0039657;GO:0016779;GO:0006351;GO:0001172;GO:0003676;GO:0004518;GO:0039548;GO:0039595;GO:0046872;GO:0039503;GO:0039694;GO:0090305;GO:0008242
NODE_3_length_12488_cov_62.984615_g1_i0	511433	GO:0019079;GO:0008233;GO:0008168;GO:0039644;GO:0003968;GO:0016787;GO:0008234;GO:0090503;GO:0032259;GO:0042802;GO:0036459;GO:0039579;GO:0016032;GO:0006508;GO:0039502;GO:0004197;GO:0030683;GO:0016740;GO:0039648;GO:0004519;GO:0019082;GO:0003723;GO:0005524;GO:0004386;GO:0000175;GO:0016896;GO:0039520;GO:0000166;GO:0039657;GO:0008270;GO:0016779;GO:0006351;GO:0004518;GO:0003676;GO:0001172;GO:0039595;GO:0004527;GO:0046872;GO:0039503;GO:0039694;GO:0019083;GO:0090305;GO:0008242
NODE_4_length_9120_cov_42.882834_g0_i2	1415834	GO:0019079;GO:0008233;GO:0003968;GO:0016787;GO:0008234;GO:0016032;GO:0006508;GO:0004197;GO:0016740;GO:0019082;GO:0003723;GO:0039520;GO:0008270;GO:0003676;GO:0001172;GO:0046872;GO:0008242
NODE_5_length_5388_cov_4866.460771_g2_i0	10844	GO:0006266;GO:0003910;GO:0006260;GO:0016874;GO:0016787;GO:0039693;GO:0004519;GO:0003677;GO:0005524;GO:0000166;GO:0004518;GO:0046872;GO:0090305;GO:0039684
NODE_6_length_2177_cov_24.662072_g3_i0	9606	GO:0042773;GO:0008137;GO:0032981;GO:0003954;GO:0001666;GO:0055114;GO:0006120;GO:0016491;GO:0010243;GO:0042542
NODE_7_length_1880_cov_53.693414_g4_i0	981085	GO:0030001;GO:0046873
NODE_8_length_1841_cov_10.312783_g5_i0	981085	GO:0030001;GO:0046873
NODE_9_length_1699_cov_67.207872_g6_i0	9606	GO:0020037;GO:0004129;GO:1902600;GO:0055114;GO:0006119;GO:0016491;GO:0009060;GO:0046872;GO:0022900
NODE_10_length_1398_cov_28.730566_g7_i0	243233	GO:0008150;GO:0003674
NODE_11_length_1392_cov_17.496588_g8_i0	1150469	GO:0045226;GO:0009058;GO:0008879;GO:0016779
NODE_12_length_1270_cov_61.949039_g9_i0	9606	GO:0035094;GO:0042773;GO:0045471;GO:0008137;GO:0032981;GO:0003954;GO:0048039;GO:0001666;GO:0015990;GO:0055114;GO:0006120;GO:0016491;GO:0021549;GO:0001701;GO:0009060;GO:0007568
NODE_13_length_1256_cov_4.286560_g10_i0	1306952	GO:0004519;GO:0003677;GO:0006281;GO:0004518;GO:0090305
NODE_14_length_1221_cov_2.782230_g11_i0	9606	GO:0016310;GO:0042289;GO:0004713;GO:0004672;GO:0004714;GO:0016301;GO:0006468;GO:0006886;GO:0005524;GO:0070206;GO:0007169;GO:0018108;GO:0019882;GO:0006955
NODE_15_length_1210_cov_3.124890_g12_i0	9606	GO:0005515;GO:0032395;GO:0060333;GO:0016032;GO:0023026;GO:0050890;GO:0042605;GO:0002503;GO:0002376;GO:0019882;GO:0050852;GO:0002504;GO:0002506;GO:0019886;GO:0006955
