query	taxid	go	multi_taxids_confidence	go_id_confidence	adhesion	secretion	host_cell_death	antibiotic	invasion	evasion	cytotoxicity	degrade_ecm	disable_organ	size	organism	gene_name	uniprot	uniprot evalue
@SRR7638291.5	1256574	GO:0016310;GO:0016301;GO:0055114;GO:0046835;GO:0004747;GO:0016740;GO:0003960;GO:0016491	1256574:0.792, 35:0.90	GO:0016310[1.0];GO:0016301[1.0];GO:0055114[1.0];GO:0046835[1.0];GO:0004747[1.0];GO:0016740[1.0];GO:0003960[1.0];GO:0016491[1.0]	0	1	0	1	0	0	0	0	0	76	uncultured bacterium A1Q1_fos_4	Ribokinase	L7VWG0	2.0e-02
@SRR7638291.6	1256574	GO:0016310;GO:0016301;GO:0046835;GO:0004747;GO:0016740	1256574:0.737	GO:0016310[1.0];GO:0016301[1.0];GO:0046835[1.0];GO:0004747[1.0];GO:0016740[1.0]	0	0	0	0	0	0	0	0	0	71	uncultured bacterium A1Q1_fos_4	Ribokinase	L7VWG0	8.4e+00
@SRR7638291.7	1200793	GO:0055114;GO:0003960;GO:0016491	9606:0.917,1200793:0.917,1400521:0.917	GO:0055114[1.0];GO:0003960[1.0];GO:0016491[1.0]	0	0	0	0	0	0	0	0	0	76	Streptococcus salivarius K12	Quinone oxidoreductase	X5NU12	5.2e-03
@SRR7638291.14	565663	GO:0003824;GO:0004722;GO:0006470	565663:1,1134802:1	GO:0003824[1.0];GO:0004722[1.0];GO:0006470[1.0]	0	0	0	0	0	0	0	0	0	61	Enterococcus faecium Com15	Serine/threonine phosphatase stp	J9A7R9	4.6e-02
@SRR7638291.21	4533	GO:0005524;GO:0015986;GO:0006754;GO:0099132;GO:0000166;GO:0046933	4533:0.722	GO:0005524[1.0];GO:0015986[1.0];GO:0006754[1.0];GO:0099132[1.0];GO:0000166[1.0];GO:0046933[1.0]	0	0	0	0	0	0	0	0	0	65	Oryza brachyantha	ATP synthase subunit beta	J3LQ64	7.7e+00
@SRR7638291.23	456482	GO:0016310;GO:0016853;GO:0016301;GO:0009231;GO:0008686;GO:0046835;GO:0046872;GO:0016829;GO:0004747;GO:0006412;GO:0016740;GO:0003735	456482:0.952,1256574:0.905	GO:0016310[1.0];GO:0016853[1.0];GO:0016301[1.0];GO:0009231[1.0];GO:0008686[1.0];GO:0046835[1.0];GO:0046872[1.0];GO:0016829[1.0];GO:0004747[1.0];GO:0006412[1.0];GO:0016740[1.0];GO:0003735[1.0]	0	0	0	0	0	0	0	0	0	76	Haemophilus influenzae HK1212	3,4-dihydroxy-2-butanone 4-phosphate synthase (Fragment)	D1NFR0	3.3e-02
@SRR7638291.26	1150469	GO:0008879;GO:0016779;GO:0045226;GO:0009058	1150469:0.8	GO:0008879[1.0];GO:0016779[1.0];GO:0045226[1.0];GO:0009058[1.0]	0	0	0	0	0	0	0	0	0	69	Pararhodospirillum photometricum DSM 122	Uncharacterized protein (Fragment)	H6SIB2	1.3e+00
@SRR7638291.27	1256574	GO:0016310;GO:0016853;GO:0016301;GO:0009231;GO:0008686;GO:0046835;GO:0046872;GO:0016829;GO:0004747;GO:0016740	1256574:0.8	GO:0016310[1.0];GO:0016853[1.0];GO:0016301[1.0];GO:0009231[1.0];GO:0008686[1.0];GO:0046835[1.0];GO:0046872[1.0];GO:0016829[1.0];GO:0004747[1.0];GO:0016740[1.0]	0	0	0	0	0	0	0	0	0	75	uncultured bacterium A1Q1_fos_4	Ribokinase	L7VWG0	1.3e-01
@SRR7638291.28	450749	GO:0016787	450749:0.773,457416:0.773	GO:0016787[1.0]	0	0	0	0	0	0	0	0	0	76	Veillonella sp. 6_1_27	Cell wall-associated hydrolase (Fragment)	D6KS15	2.6e-02
@SRR7638291.31	1370023	GO:0016787	1370023:0.8	GO:0016787[1.0]	0	0	0	1	0	0	1	0	0	74	Corethrella appendiculata	Putative cell wall-associated hydrolase sp. e14 cell wall-associated hydrolase (Fragment)	U5ES40	2.1e-01
@SRR7638291.36	1370023	GO:0043531;GO:0019684;GO:0016787;GO:0009767;GO:0016168	1370023:0.773	GO:0043531[1.0];GO:0019684[1.0];GO:0016787[1.0];GO:0009767[1.0];GO:0016168[1.0]	0	0	0	0	0	0	0	0	0	76	Corethrella appendiculata	Putative cell wall-associated hydrolase sp. e14 cell wall-associated hydrolase (Fragment)	U5ES40	3.3e-02
