query	taxid	go	multi_taxids_confidence	go_id_confidence	adhesion	secretion	host_cell_death	antibiotic	invasion	evasion	cytotoxicity	degrade_ecm	disable_organ	size	organism	gene_name	uniprot	uniprot evalue
NODE_1_length_32580_cov_43.160704_g0_i0	1283333	GO:0019082;GO:0003723;GO:0005524;GO:0019079;GO:0008233;GO:0008168;GO:0004386;GO:0003968;GO:0016896;GO:0039520;GO:0016787;GO:0008234;GO:0090503;GO:0000166;GO:0008270;GO:0032259;GO:0016779;GO:0006351;GO:0016032;GO:0001172;GO:0003676;GO:0039503;GO:0046872;GO:0006508;GO:0039694;GO:0004197;GO:0016740;GO:0008242	1283333:0.804,1283332:0.803,321149:0.803,256753:0.803	GO:0019082[1.0];GO:0003723[1.0];GO:0005524[1.0];GO:0019079[1.0];GO:0008233[1.0];GO:0008168[1.0];GO:0004386[1.0];GO:0003968[1.0];GO:0016896[1.0];GO:0039520[1.0];GO:0016787[1.0];GO:0008234[1.0];GO:0090503[1.0];GO:0000166[1.0];GO:0008270[1.0];GO:0032259[1.0];GO:0016779[1.0];GO:0006351[1.0];GO:0016032[1.0];GO:0001172[1.0];GO:0003676[1.0];GO:0039503[1.0];GO:0046872[1.0];GO:0006508[1.0];GO:0039694[1.0];GO:0004197[1.0];GO:0016740[1.0];GO:0008242[1.0]	0	0	0	0	0	0	0	0	0	32580	Bat coronavirus Cp/Yunnan2011	ORF1a protein	R9QTH2	0.0e+00
NODE_2_length_17507_cov_42.377194_g0_i1	1283332	GO:0019079;GO:0008233;GO:0008168;GO:0003968;GO:0016787;GO:0008234;GO:0090503;GO:0032259;GO:0036459;GO:0039579;GO:0016032;GO:0006508;GO:0039502;GO:0004197;GO:0030683;GO:0016740;GO:0039648;GO:0004519;GO:0019082;GO:0003723;GO:0005524;GO:0004386;GO:0016896;GO:0039520;GO:0000166;GO:0008270;GO:0039657;GO:0016779;GO:0006351;GO:0001172;GO:0003676;GO:0004518;GO:0039548;GO:0039595;GO:0046872;GO:0039503;GO:0039694;GO:0090305;GO:0008242	1283332:0.806,1283333:0.806,321149:0.805,227859:0.804,258972:0.805,255730:0.804,627440:0.804,228404:0.804,258967:0.804,255729:0.804,258966:0.804,256753:0.805	GO:0019079[1.0];GO:0008233[1.0];GO:0008168[1.0];GO:0003968[1.0];GO:0016787[1.0];GO:0008234[1.0];GO:0090503[1.0];GO:0032259[1.0];GO:0036459[1.0];GO:0039579[1.0];GO:0016032[1.0];GO:0006508[1.0];GO:0039502[1.0];GO:0004197[1.0];GO:0030683[1.0];GO:0016740[1.0];GO:0039648[1.0];GO:0004519[1.0];GO:0019082[1.0];GO:0003723[1.0];GO:0005524[1.0];GO:0004386[1.0];GO:0016896[1.0];GO:0039520[1.0];GO:0000166[1.0];GO:0008270[1.0];GO:0039657[1.0];GO:0016779[1.0];GO:0006351[1.0];GO:0001172[1.0];GO:0003676[1.0];GO:0004518[1.0];GO:0039548[1.0];GO:0039595[1.0];GO:0046872[1.0];GO:0039503[1.0];GO:0039694[1.0];GO:0090305[1.0];GO:0008242[1.0]	0	0	0	0	0	0	0	0	0	17507	Bat coronavirus Rp/Shaanxi2011	ORF1a protein	R9QTB2	0.0e+00
NODE_3_length_12488_cov_62.984615_g1_i0	511433	GO:0019079;GO:0008233;GO:0008168;GO:0039644;GO:0003968;GO:0016787;GO:0008234;GO:0090503;GO:0032259;GO:0042802;GO:0036459;GO:0039579;GO:0016032;GO:0006508;GO:0039502;GO:0004197;GO:0030683;GO:0016740;GO:0039648;GO:0004519;GO:0019082;GO:0003723;GO:0005524;GO:0004386;GO:0000175;GO:0016896;GO:0039520;GO:0000166;GO:0039657;GO:0008270;GO:0016779;GO:0006351;GO:0004518;GO:0003676;GO:0001172;GO:0039595;GO:0004527;GO:0046872;GO:0039503;GO:0039694;GO:0019083;GO:0090305;GO:0008242	511433:0.939,511429:0.939,1283332:0.94,228404:0.938,698419:0.937,253435:0.938,258966:0.938,258972:0.938,227859:0.938,633137:0.937,258967:0.938,258971:0.938,255729:0.938,255730:0.938,239243:0.938,256753:0.938,284672:0.937,1415852:0.938,722424:0.939,229992:0.937,321149:0.937,344702:0.937,321147:0.937,258964:0.937,511430:0.937,1415851:0.938,299335:0.936,627440:0.934,633140:0.937,285949:0.935,349344:0.937,1415834:0.937,260743:0.935,285946:0.936,312027:0.936,285945:0.936,389166:0.936,258508:0.936,304858:0.935,742005:0.934,742004:0.934,741999:0.933,389167:0.937,442736:0.933,1283333:0.932,741997:0.932,338605:0.932,742003:0.932,742001:0.932,742002:0.932,741998:0.932,742000:0.931	GO:0019079[1.0];GO:0008233[1.0];GO:0008168[1.0];GO:0039644[1.0];GO:0003968[1.0];GO:0016787[1.0];GO:0008234[1.0];GO:0090503[1.0];GO:0032259[1.0];GO:0042802[1.0];GO:0036459[1.0];GO:0039579[1.0];GO:0016032[1.0];GO:0006508[1.0];GO:0039502[1.0];GO:0004197[1.0];GO:0030683[1.0];GO:0016740[1.0];GO:0039648[1.0];GO:0004519[1.0];GO:0019082[1.0];GO:0003723[1.0];GO:0005524[1.0];GO:0004386[1.0];GO:0000175[1.0];GO:0016896[1.0];GO:0039520[1.0];GO:0000166[1.0];GO:0039657[1.0];GO:0008270[1.0];GO:0016779[1.0];GO:0006351[1.0];GO:0004518[1.0];GO:0003676[1.0];GO:0001172[1.0];GO:0039595[1.0];GO:0004527[1.0];GO:0046872[1.0];GO:0039503[1.0];GO:0039694[1.0];GO:0019083[1.0];GO:0090305[1.0];GO:0008242[1.0]	0	0	0	0	0	1	0	0	0	12488	SARS coronavirus BJ182b	Orf1ab	B8Q8S4	0.0e+00
NODE_4_length_9120_cov_42.882834_g0_i2	1415834	GO:0019079;GO:0008233;GO:0003968;GO:0016787;GO:0008234;GO:0016032;GO:0006508;GO:0004197;GO:0016740;GO:0019082;GO:0003723;GO:0039520;GO:0008270;GO:0003676;GO:0001172;GO:0046872;GO:0008242	1415834:0.904	GO:0019079[1.0];GO:0008233[1.0];GO:0003968[1.0];GO:0016787[1.0];GO:0008234[1.0];GO:0016032[1.0];GO:0006508[1.0];GO:0004197[1.0];GO:0016740[1.0];GO:0019082[1.0];GO:0003723[1.0];GO:0039520[1.0];GO:0008270[1.0];GO:0003676[1.0];GO:0001172[1.0];GO:0046872[1.0];GO:0008242[1.0]	0	0	0	0	0	0	0	0	0	9120	Bat SARS-like coronavirus Rs3367	Non-structural polyprotein 1a	U5WLL4	0.0e+00
NODE_5_length_5388_cov_4866.460771_g2_i0	10844	GO:0006266;GO:0003910;GO:0006260;GO:0016874;GO:0016787;GO:0039693;GO:0004519;GO:0003677;GO:0005524;GO:0000166;GO:0004518;GO:0046872;GO:0090305;GO:0039684	10844:0.985,1217068:1,10847:0.992,338122:0.992,338125:0.992	GO:0006266[1.0];GO:0003910[1.0];GO:0006260[1.0];GO:0016874[1.0];GO:0016787[1.0];GO:0039693[1.0];GO:0004519[1.0];GO:0003677[1.0];GO:0005524[1.0];GO:0000166[1.0];GO:0004518[1.0];GO:0046872[1.0];GO:0090305[1.0];GO:0039684[1.0]	0	0	0	0	0	0	0	0	0	5388	Enterobacteria phage S13	A' protein	P07928	7.8e-302
NODE_6_length_2177_cov_24.662072_g3_i0	9606	GO:0042773;GO:0008137;GO:0032981;GO:0003954;GO:0001666;GO:0055114;GO:0006120;GO:0016491;GO:0010243;GO:0042542	9606:0.934,63221:0.934	GO:0042773[1.0];GO:0008137[1.0];GO:0032981[1.0];GO:0003954[1.0];GO:0001666[1.0];GO:0055114[1.0];GO:0006120[1.0];GO:0016491[1.0];GO:0010243[1.0];GO:0042542[1.0]	0	0	0	0	0	0	0	0	0	2177	Homo sapiens	NADH-ubiquinone oxidoreductase chain 5	A4ZLE0	3.5e-309
NODE_7_length_1880_cov_53.693414_g4_i0	981085	GO:0030001;GO:0046873	981085:0.574	GO:0030001[1.0];GO:0046873[1.0]	0	0	0	0	0	0	0	0	0	1880	Morus notabilis	Metal transporter Nramp5	W9SBV7	3.2e-08
NODE_8_length_1841_cov_10.312783_g5_i0	981085	GO:0030001;GO:0046873	981085:0.587	GO:0030001[1.0];GO:0046873[1.0]	0	0	0	0	0	0	0	0	0	1841	Morus notabilis	Metal transporter Nramp5	W9SBV7	1.1e-05
NODE_9_length_1699_cov_67.207872_g6_i0	9606	GO:0020037;GO:0004129;GO:1902600;GO:0055114;GO:0006119;GO:0016491;GO:0009060;GO:0046872;GO:0022900	9606:0.905	GO:0020037[1.0];GO:0004129[1.0];GO:1902600[1.0];GO:0055114[1.0];GO:0006119[1.0];GO:0016491[1.0];GO:0009060[1.0];GO:0046872[1.0];GO:0022900[1.0]	0	0	0	0	0	0	0	0	0	1699	Homo sapiens	Cytochrome c oxidase subunit 1	H9LPH4	1.3e-258
NODE_10_length_1398_cov_28.730566_g7_i0	243233	GO:0008150;GO:0003674	243233:0.84	GO:0008150[1.0];GO:0003674[1.0]	0	0	0	0	0	0	0	0	0	1398	Methylococcus capsulatus str. Bath	Uncharacterized protein	Q603S8	1.7e-30
