query	taxid	go	multi_taxids_confidence	go_id_confidence	adhesion	secretion	host_cell_death	antibiotic	invasion	evasion	cytotoxicity	degrade_ecm	disable_organ	size	organism	gene_name	uniprot	uniprot evalue
@SRR7638291.951	1604	GO:0003723;GO:0008168;GO:0046677;GO:0031167;GO:0000154;GO:0052910;GO:0032259;GO:0000179;GO:0052908;GO:0008649;GO:0016740	1604:1,1284:1,1314:1,997874:1,820:1,1502:1,1352:1,1496:1,665953:1,562:1,1305:1,1354:1,1313:1,1079026:1,1307:1,77133:1,556260:1	GO:0003723[1.0];GO:0008168[1.0];GO:0046677[1.0];GO:0031167[1.0];GO:0000154[1.0];GO:0052910[1.0];GO:0032259[1.0];GO:0000179[1.0];GO:0052908[1.0];GO:0008649[1.0];GO:0016740[1.0]	0	0	0	1	0	0	0	0	0	62	Lactobacillus amylovorus	rRNA adenine N-6-methyltransferase	P21236	1.6e-02
@SRR7638291.1291	1352	GO:0055114;GO:0046677;GO:0071555;GO:0016491;GO:0016616;GO:0051287	1352:1	GO:0055114[1.0];GO:0046677[1.0];GO:0071555[1.0];GO:0016491[1.0];GO:0016616[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	63	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	2.2e-02
@SRR7638291.1905	1352	GO:0055114;GO:0046677;GO:0071555;GO:0016491;GO:0016616;GO:0051287	1352:1,49283:0.958	GO:0055114[1.0];GO:0046677[1.0];GO:0071555[1.0];GO:0016491[1.0];GO:0016616[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	74	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	5.9e-04
@SRR7638291.2690	1352	GO:0055114;GO:0046677;GO:0071555;GO:0016491;GO:0016616;GO:0051287	1352:1	GO:0055114[1.0];GO:0046677[1.0];GO:0071555[1.0];GO:0016491[1.0];GO:0016616[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	76	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	3.2e-05
@SRR7638291.3034	562	GO:0008168;GO:0046677;GO:0000154;GO:0052910;GO:0032259;GO:0008649;GO:0016740;GO:0003723;GO:0031167;GO:0000179;GO:0052908	562:1,1284:1,1314:1,997874:1,1354:1,1305:1,820:1,1313:0.92,1502:1,1079026:1,1307:1,77133:1,1496:1,665953:1,556260:1	GO:0008168[1.0];GO:0046677[1.0];GO:0000154[1.0];GO:0052910[1.0];GO:0032259[1.0];GO:0008649[1.0];GO:0016740[1.0];GO:0003723[1.0];GO:0031167[1.0];GO:0000179[1.0];GO:0052908[1.0]	0	0	0	1	0	0	0	0	0	76	Escherichia coli	rRNA adenine N-6-methyltransferase	P21236	5.0e-06
@SRR7638291.3252	31675	GO:0046081;GO:0008233;GO:0003964;GO:0016787;GO:0090503;GO:0002134;GO:0008152;GO:0004533;GO:0006226;GO:0003824;GO:0006508;GO:0016740;GO:0006310;GO:0004519;GO:0046718;GO:0000287;GO:0015074;GO:0003677;GO:0075713;GO:0044826;GO:0004523;GO:0008270;GO:0016779;GO:0004518;GO:0004190;GO:0003676;GO:0046872;GO:0090502;GO:0090305;GO:0004170;GO:0006278	31675:1,11670:1,11665:0.96	GO:0046081[1.0];GO:0008233[1.0];GO:0003964[1.0];GO:0016787[1.0];GO:0090503[1.0];GO:0002134[1.0];GO:0008152[1.0];GO:0004533[1.0];GO:0006226[1.0];GO:0003824[1.0];GO:0006508[1.0];GO:0016740[1.0];GO:0006310[1.0];GO:0004519[1.0];GO:0046718[1.0];GO:0000287[1.0];GO:0015074[1.0];GO:0003677[1.0];GO:0075713[1.0];GO:0044826[1.0];GO:0004523[1.0];GO:0008270[1.0];GO:0016779[1.0];GO:0004518[1.0];GO:0004190[1.0];GO:0003676[1.0];GO:0046872[1.0];GO:0090502[1.0];GO:0090305[1.0];GO:0004170[1.0];GO:0006278[1.0]	0	0	0	0	1	0	0	0	0	76	Equine infectious anemia virus (clone CL22)	Pol polyprotein	P11204	1.8e-08
@SRR7638291.3355	1352	GO:0046677;GO:0016616;GO:0055114;GO:0071555;GO:0016491;GO:0051287	1352:1	GO:0046677[1.0];GO:0016616[1.0];GO:0055114[1.0];GO:0071555[1.0];GO:0016491[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	68	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	3.1e-04
@SRR7638291.8579	1352	GO:0046677;GO:0016616;GO:0055114;GO:0071555;GO:0016491;GO:0051287	1352:1,1397:1	GO:0046677[1.0];GO:0016616[1.0];GO:0055114[1.0];GO:0071555[1.0];GO:0016491[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	75	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	8.5e-06
@SRR7638291.10304	1182704	GO:0015562;GO:0042802;GO:0046618;GO:0015288;GO:0005216;GO:0014070;GO:0047485;GO:0034220;GO:0042930;GO:0046677;GO:0005515;GO:0009405;GO:0055085	1182704:1,358708:1,869678:1,83333:1,981367:1,1192586:1,1432555:1,550672:1,701347:1,1002368:1,637910:1,502347:1,1440052:1,752785:1,1432557:1,913063:1,1169355:1,41514:1,500640:1,766154:1,1280998:1,300268:1,585397:1,766145:1,1169349:1,591020:1,344609:1,562:1,149539:1,1169322:1,766141:1,1173950:1,913241:1,585054:1,571:0.96,1269006:0.96,1395580:0.96,1045856:0.96,1162296:0.96,1329856:0.96,548:0.96,1182659:0.96,888063:0.96,1399146:0.96,1432560:0.96,550:0.96,507522:0.96,1134687:0.96,500639:0.96,1235834:0.96,399742:0.96,693444:0.96,1166130:0.96,861365:0.96,640513:0.96	GO:0015562[1.0];GO:0042802[1.0];GO:0046618[1.0];GO:0015288[1.0];GO:0005216[1.0];GO:0014070[1.0];GO:0047485[1.0];GO:0034220[1.0];GO:0042930[1.0];GO:0046677[1.0];GO:0005515[1.0];GO:0009405[1.0];GO:0055085[1.0]	0	0	0	1	0	0	0	0	0	76	Escherichia coli KTE108	Outer membrane protein TolC	Q54001	4.0e-03
@SRR7638291.11694	1352	GO:0055114;GO:0016491;GO:0046677;GO:0016616;GO:0071555;GO:0051287	1352:1	GO:0055114[1.0];GO:0016491[1.0];GO:0046677[1.0];GO:0016616[1.0];GO:0071555[1.0];GO:0051287[1.0]	0	0	0	1	0	0	0	0	0	76	Enterococcus faecium	D-specific alpha-keto acid dehydrogenase	Q05709	5.5e-05
